title,keep,topic,target,tone,shortlist
Biden Lied,No,hunter,demobilise,tabloid,
Hunter Biden's Foreign Money,Maybe,hunter,demobilise,solemn,
If you're scared that a Biden administration will come for your guns ,Yes,2A,2A,tabloid,
Insult,Yes,race,Black Americans,relatable,
Joe Biden does not have the backs of police officers,Maybe,police,"security, Blue Lives",interviews,
Joe Biden LIED to you. He DID discuss Hunter Biden’s corrupt foreign business deals!,Maybe,hunter,demobilise,tabloid,
"Only I can drain the swamp, defeat the Deep State, and give power back to the American people!",No,hunter,demobilise,tabloid,
Real Leadership,Yes,veterans/wars/terrorism,general,solemn/heroic,
Remember,Yes,jobs,general,solemn/heroic,
The Real Biden Plan,Yes,economy/taxes,general,tabloid,
They Mock Us,Maybe,deplorables,mobilise trump base,solidarity,
We Deserve to Know,No,supreme court,general,tabloid,
Who's Better,Maybe,seniors,seniors,informational,
Why Did Joe Biden Let Hunter Do It,Maybe,hunter,demobilise,tabloid,
